Date,Fund,Product,Book,ProductClass,Vega Notional,Financial PnL, NAV 
9/4/2020,VISTA MACRO MASTER FIM,Swap NDX VAR 1369 CAP 2.5 31AUG2020 20NOV2020,Vol_SPX/NDX_,Variance Swap,30000.00,77913.17667,741613143.01
9/3/2020,VISTA MACRO MASTER FIM,Swap SPX VAR 832.3225 01SEP2020 20NOV2020,Vol_SPX/NDX_,Variance Swap,-10000.36,889224.6174,743972757.21
9/3/2020,VISTA MACRO MASTER FIM,Swap NDX VAR 1369 CAP 2.5 31AUG2020 20NOV2020,Vol_SPX/NDX_,Variance Swap,-30000.00,-241548.7139,743972757.21
9/3/2020,VISTA MACRO MASTER FIM,Swap NDX VAR 1455.4225 01SEP2020 20NOV2020,Vol_SPX/NDX_,Variance Swap,10000.10,-735397.9691,743972757.21
9/3/2020,VISTA MACRO MASTER FIM,Swap SPX VAR 756.25 CAP 2.5 31AUG2020 20NOV2020,Vol_SPX/NDX_,Variance Swap,30000.00,292531.3778,743972757.21
9/2/2020,VISTA MACRO MASTER FIM,Swap SPX VAR 832.3225 01SEP2020 20NOV2020,Vol_SPX/NDX_,Variance Swap,-10000.36,176405.5473,751539906.26
9/2/2020,VISTA MACRO MASTER FIM,Swap SPX VAR 756.25 CAP 2.5 31AUG2020 20NOV2020,Vol_SPX/NDX_,Variance Swap,-30000.00,53571.81522,751539906.26
9/2/2020,VISTA MACRO MASTER FIM,Swap NDX VAR 1455.4225 01SEP2020 20NOV2020,Vol_SPX/NDX_,Variance Swap,10000.10,-190862.9704,751539906.26
9/2/2020,VISTA MACRO MASTER FIM,Swap NDX VAR 1369 CAP 2.5 31AUG2020 20NOV2020,Vol_SPX/NDX_,Variance Swap,30000.00,-59835.84315,751539906.26
9/1/2020,VISTA MACRO MASTER FIM,Swap NDX VAR 1369 CAP 2.5 31AUG2020 20NOV2020,Vol_SPX/NDX_,Variance Swap,-10000.36,-234279.6109,744530745.09
9/1/2020,VISTA MACRO MASTER FIM,Swap NDX VAR 1455.4225 01SEP2020 20NOV2020,Vol_SPX/NDX_,Variance Swap,-30000.00,-241934.0879,744530745.09
9/1/2020,VISTA MACRO MASTER FIM,Swap SPX VAR 756.25 CAP 2.5 31AUG2020 20NOV2020,Vol_SPX/NDX_,Variance Swap,10000.10,-8065.796972,744530745.09
9/1/2020,VISTA MACRO MASTER FIM,Swap SPX VAR 832.3225 01SEP2020 20NOV2020,Vol_SPX/NDX_,Variance Swap,30000.00,281857.1875,744530745.09
8/31/2020,VISTA MACRO MASTER FIM,Swap NDX VAR 1369 CAP 2.5 31AUG2020 20NOV2020,Vol_SPX/NDX_,Variance Swap,-10000.36,100703.7732,749460012.42
8/31/2020,VISTA MACRO MASTER FIM,Swap SPX VAR 756.25 CAP 2.5 31AUG2020 20NOV2020,Vol_SPX/NDX_,Variance Swap,10000.10,152092.2013,749460012.42
